Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Period start,Selected business demand (GWh),Est. Total consumption (GWh),Export prices,Export volumes,Export values,Import prices,Import volumes,Import values,Population
2010-01-01,41.9,20.049999999999997,17.4,4.2,11.0,1.7000000000000002,2010.0,1.0,1/01/10,572.918,282.0,1072,1160,"10,093",904,1360,"8,827",1600200.0
2010-02-01,34.8,21.35,19.700000000000003,3.65,8.0,1.2,2010.0,2.0,1/02/10,564.809,259.792,1072,1160,"10,093",904,1360,"8,827",1600200.0
2010-03-01,7.6,19.3,16.65,4.35,12.5,1.4500000000000002,2010.0,3.0,1/03/10,621.988,295.27,1072,1160,"10,093",904,1360,"8,827",1600200.0
2010-04-01,48.4,17.049999999999997,16.05,3.1500000000000004,7.0,1.4,2010.0,4.0,1/04/10,573.259,303.576,1112,1264,"11,416",920,1476,"9,740",1600200.0
2010-05-01,197.5,14.600000000000001,14.4,3.55,12.5,1.9500000000000002,2010.0,5.0,1/05/10,608.594,363.48,1112,1264,"11,416",920,1476,"9,740",1600200.0
2010-06-01,113.95,12.399999999999999,12.850000000000001,3.65,13.0,2.1,2010.0,6.0,1/06/10,605.561,414.967,1112,1264,"11,416",920,1476,"9,740",1600200.0
2010-07-01,123.0,11.05,11.35,3.15,10.0,1.8,2010.0,7.0,1/07/10,624.114,461.344,1112,1030,"9,291",892,1608,"10,297",1600200.0
2010-08-01,177.10000000000002,12.75,13.25,3.6500000000000004,12.0,1.6,2010.0,8.0,1/08/10,617.336,445.682,1112,1030,"9,291",892,1608,"10,297",1600200.0
2010-09-01,95.2,14.0,13.05,5.0,15.5,1.55,2010.0,9.0,1/09/10,582.868,395.356,1112,1030,"9,291",892,1608,"10,297",1600200.0
2010-10-01,27.6,14.149999999999999,12.55,4.25,11.5,1.4,2010.0,10.0,1/10/10,576.299,353.802,1118,1171,"10,621",890,1742,"11,129",1600200.0
2010-11-01,18.25,16.9,14.9,3.7,4.5,2.2,2010.0,11.0,1/11/10,591.876,304.48,1118,1171,"10,621",890,1742,"11,129",1600200.0
2010-12-01,96.30000000000001,20.5,18.4,3.85,7.5,1.95,2010.0,12.0,1/12/10,599.573,291.879,1118,1171,"10,621",890,1742,"11,129",1600200.0
2011-01-01,271.65,20.700000000000003,18.6,4.35,9.5,1.25,2011.0,1.0,1/01/11,589.25,280.843,1188,1170,"11,287",938,1552,"10,453",1622100.0
2011-02-01,29.4,21.25,19.950000000000003,3.75,2.0,1.4500000000000002,2011.0,2.0,1/02/11,589.287,260.45,1188,1170,"11,287",938,1552,"10,453",1622100.0
2011-03-01,137.8,19.15,18.2,3.3,6.5,2.05,2011.0,3.0,1/03/11,634.157,296.826,1188,1170,"11,287",938,1552,"10,453",1622100.0
2011-04-01,97.25,16.85,16.0,3.55,8.0,1.6,2011.0,4.0,1/04/11,579.253,312.329,1211,1291,"12,690",934,1609,"10,786",1622100.0
2011-05-01,156.0,15.600000000000001,15.8,3.6999999999999997,13.5,2.2,2011.0,5.0,1/05/11,623.931,363.526,1211,1291,"12,690",934,1609,"10,786",1622100.0
2011-06-01,145.60000000000002,13.5,13.7,3.55,12.0,2.05,2011.0,6.0,1/06/11,604.75,403.37,1211,1291,"12,690",934,1609,"10,786",1622100.0
2011-07-01,107.3,11.8,11.600000000000001,4.45,17.0,1.95,2011.0,7.0,1/07/11,636.429,451.558,1162,1062,"10,024",903,1750,"11,346",1622100.0
2011-08-01,41.05,11.0,11.1,3.15,6.0,2.45,2011.0,8.0,1/08/11,635.853,454.682,1162,1062,"10,024",903,1750,"11,346",1622100.0
2011-09-01,71.3,12.4,11.5,4.1,13.5,1.2000000000000002,2011.0,9.0,1/09/11,591.499,403.238,1162,1062,"10,024",903,1750,"11,346",1622100.0
2011-10-01,89.9,15.45,14.3,4.2,11.5,1.55,2011.0,10.0,1/10/11,587.716,355.902,1182,1199,"11,504",931,1787,"11,943",1622100.0
2011-11-01,30.1,16.7,13.95,5.25,14.0,1.2999999999999998,2011.0,11.0,1/11/11,597.309,310.521,1182,1199,"11,504",931,1787,"11,943",1622100.0
2011-12-01,173.39999999999998,18.5,17.25,4.45,14.5,1.5499999999999998,2011.0,12.0,1/12/11,587.775,303.276,1182,1199,"11,504",931,1787,"11,943",1622100.0
2012-01-01,56.2,19.1,16.8,4.1,11.0,1.2000000000000002,2012.0,1.0,1/01/12,575.891,290.15,1138,1196,"11,049",918,1632,"10,745",1640000.0
2012-02-01,111.6,19.950000000000003,18.45,3.3499999999999996,5.5,1.05,2012.0,2.0,1/02/12,585.69,269.823,1138,1196,"11,049",918,1632,"10,745",1640000.0
2012-03-01,238.54999999999998,17.9,16.35,4.449999999999999,11.5,1.4,2012.0,3.0,1/03/12,618.671,299.018,1138,1196,"11,049",918,1632,"10,745",1640000.0
2012-04-01,47.900000000000006,17.0,15.850000000000001,3.9,10.0,1.75,2012.0,4.0,1/04/12,576.289,305.259,1126,1304,"11,919",932,1648,"11,026",1640000.0
2012-05-01,84.65,13.8,13.0,3.4499999999999997,15.0,2.05,2012.0,5.0,1/05/12,646.474,370.044,1126,1304,"11,919",932,1648,"11,026",1640000.0
2012-06-01,56.25,12.05,11.8,3.45,12.0,2.0999999999999996,2012.0,6.0,1/06/12,615.5,419.055,1126,1304,"11,919",932,1648,"11,026",1640000.0
2012-07-01,172.39999999999998,11.6,11.75,3.3,11.5,2.45,2012.0,7.0,1/07/12,632.578,455.6,1055,1186,"10,155",902,1781,"11,533",1640000.0
2012-08-01,135.0,12.6,12.95,3.1,8.0,1.25,2012.0,8.0,1/08/12,623.201,426.477,1055,1186,"10,155",902,1781,"11,533",1640000.0
2012-09-01,127.8,13.5,12.2,4.9,16.0,1.9,2012.0,9.0,1/09/12,593.84,377.231,1055,1186,"10,155",902,1781,"11,533",1640000.0
2012-10-01,53.1,14.5,13.25,5.1,18.0,1.45,2012.0,10.0,1/10/12,614.265,347.481,1036,1298,"10,913",896,1795,"11,545",1640000.0
2012-11-01,37.4,15.6,13.399999999999999,4.3,10.0,1.5,2012.0,11.0,1/11/12,599.539,310.771,1036,1298,"10,913",896,1795,"11,545",1640000.0
2012-12-01,101.4,19.6,18.15,4.15,9.0,2.2,2012.0,12.0,1/12/12,593.762,294.686,1036,1298,"10,913",896,1795,"11,545",1640000.0
2013-01-01,7.8,20.3,16.7,4.65,14.0,1.6,2013.0,1.0,1/01/13,600.334,277.53,1056,1305,"11,183",877,1625,"10,223",1657900.0
2013-02-01,20.9,20.049999999999997,17.55,3.6500000000000004,4.5,1.35,2013.0,2.0,1/02/13,569.575,250.994,1056,1305,"11,183",877,1625,"10,223",1657900.0
2013-03-01,28.0,19.700000000000003,17.5,3.25,5.0,1.5499999999999998,2013.0,3.0,1/03/13,627.215,282.324,1056,1305,"11,183",877,1625,"10,223",1657900.0
2013-04-01,110.30000000000001,17.85,17.549999999999997,3.1999999999999997,7.0,1.75,2013.0,4.0,1/04/13,586.418,296.261,1089,1307,"11,550",864,1752,"10,858",1657900.0
2013-05-01,184.45,14.3,14.8,2.9,12.0,2.25,2013.0,5.0,1/05/13,645.289,360.485,1089,1307,"11,550",864,1752,"10,858",1657900.0
2013-06-01,139.8,12.35,12.75,3.25,8.5,2.0,2013.0,6.0,1/06/13,612.198,409.31,1089,1307,"11,550",864,1752,"10,858",1657900.0
2013-07-01,49.9,11.25,11.55,2.55,6.0,1.9,2013.0,7.0,1/07/13,633.169,447.189,1185,1083,"10,416",875,1997,"12,536",1657900.0
2013-08-01,173.3,12.899999999999999,12.850000000000001,3.75,13.0,1.15,2013.0,8.0,1/08/13,622.109,423.236,1185,1083,"10,416",875,1997,"12,536",1657900.0
2013-09-01,149.2,13.85,13.05,4.75,16.0,2.3,2013.0,9.0,1/09/13,602.271,377.901,1185,1083,"10,416",875,1997,"12,536",1657900.0
2013-10-01,28.9,15.35,13.45,4.5,14.0,1.5,2013.0,10.0,1/10/13,600.336,336.975,1182,1345,"12,898",851,2014,"12,299",1657900.0
2013-11-01,71.8,17.6,15.4,3.6500000000000004,8.0,2.1,2013.0,11.0,1/11/13,600.345,299.427,1182,1345,"12,898",851,2014,"12,299",1657900.0
2013-12-01,114.2,18.85,16.45,4.0,10.5,1.15,2013.0,12.0,1/12/13,596.267,285.122,1182,1345,"12,898",851,2014,"12,299",1657900.0
2014-01-01,29.5,19.4,16.0,4.7,15.5,1.6,2014.0,1.0,1/01/14,597.005,277.436,1191,1356,"13,105",842,1828,"11,049",1688600.0
2014-02-01,68.8,20.25,17.700000000000003,4.15,8.0,1.4,2014.0,2.0,1/02/14,577.342,255.319,1191,1356,"13,105",842,1828,"11,049",1688600.0
2014-03-01,49.7,18.549999999999997,16.0,3.7,7.0,1.15,2014.0,3.0,1/03/14,618.853,287.217,1191,1356,"13,105",842,1828,"11,049",1688600.0
2014-04-01,95.0,18.0,16.8,3.3499999999999996,6.0,1.85,2014.0,4.0,1/04/14,579.283,296.277,1164,1339,"12,654",823,1962,"11,585",1688600.0
2014-05-01,51.699999999999996,14.25,14.0,2.75,4.5,2.25,2014.0,5.0,1/05/14,616.091,359.472,1164,1339,"12,654",823,1962,"11,585",1688600.0
2014-06-01,214.8,13.649999999999999,13.4,3.4,11.5,1.55,2014.0,6.0,1/06/14,604.808,393.26,1164,1339,"12,654",823,1962,"11,585",1688600.0
2014-07-01,92.4,11.350000000000001,11.45,4.2,16.5,2.0999999999999996,2014.0,7.0,1/07/14,640.54,461.548,1111,1143,"10,313",823,2195,"12,961",1688600.0
2014-08-01,199.8,12.100000000000001,11.399999999999999,4.300000000000001,15.0,1.65,2014.0,8.0,1/08/14,634.085,441.565,1111,1143,"10,313",823,2195,"12,961",1688600.0
2014-09-01,152.10000000000002,13.8,13.0,4.45,14.0,1.4,2014.0,9.0,1/09/14,604.197,379.482,1111,1143,"10,313",823,2195,"12,961",1688600.0
2014-10-01,88.7,14.8,12.75,4.7,13.0,1.65,2014.0,10.0,1/10/14,611.217,348.448,1091,1345,"11,907",827,2214,"13,136",1688600.0
2014-11-01,52.599999999999994,16.05,13.7,4.85,14.5,2.25,2014.0,11.0,1/11/14,600.201,313.812,1091,1345,"11,907",827,2214,"13,136",1688600.0
2014-12-01,125.0,18.6,16.65,4.15,5.0,2.0,2014.0,12.0,1/12/14,599.835,298.821,1091,1345,"11,907",827,2214,"13,136",1688600.0
2015-01-01,15.7,20.95,17.95,3.4,2.0,1.35,2015.0,1.0,1/01/15,617.318,272.707,1048,1376,"11,706",785,1966,"11,072",1724900.0
2015-02-01,49.6,20.299999999999997,18.15,3.3,5.5,1.3,2015.0,2.0,1/02/15,582.785,254.749,1048,1376,"11,706",785,1966,"11,072",1724900.0
2015-03-01,74.2,20.0,17.85,3.45,6.5,1.6,2015.0,3.0,1/03/15,643.778,285.223,1048,1376,"11,706",785,1966,"11,072",1724900.0
2015-04-01,61.8,17.3,16.1,3.55,10.0,2.15,2015.0,4.0,1/04/15,597.814,304.417,1071,1387,"12,062",790,2054,"11,646",1724900.0
2015-05-01,136.10000000000002,14.2,13.9,3.45,9.5,2.15,2015.0,5.0,1/05/15,630.236,373.918,1071,1387,"12,062",790,2054,"11,646",1724900.0
2015-06-01,86.1,12.5,11.8,4.1,14.0,2.25,2015.0,6.0,1/06/15,616.775,421.473,1071,1387,"12,062",790,2054,"11,646",1724900.0
2015-07-01,147.0,11.05,11.0,3.65,13.5,2.4,2015.0,7.0,1/07/15,635.587,468.774,1107,1221,"10,963",848,2268,"13,810",1724900.0
2015-08-01,145.9,11.9,11.65,3.15,8.0,2.1,2015.0,8.0,1/08/15,636.476,449.357,1107,1221,"10,963",848,2268,"13,810",1724900.0
2015-09-01,138.7,12.850000000000001,11.65,4.050000000000001,12.0,1.35,2015.0,9.0,1/09/15,617.611,391.766,1107,1221,"10,963",848,2268,"13,810",1724900.0
2015-10-01,56.099999999999994,14.899999999999999,12.8,4.8,13.5,1.15,2015.0,10.0,1/10/15,607.762,342.557,1044,1383,"11,717",817,2277,"13,353",1724900.0
2015-11-01,65.5,16.7,14.3,4.0,6.0,2.5,2015.0,11.0,1/11/15,603.758,305.082,1044,1383,"11,717",817,2277,"13,353",1724900.0
2015-12-01,29.6,18.65,15.2,4.65,11.0,1.5499999999999998,2015.0,12.0,1/12/15,598.501,293.785,1044,1383,"11,717",817,2277,"13,353",1724900.0
2016-01-01,127.0,21.1,19.65,3.75,8.0,1.65,2016.0,1.0,1/01/16,619.583,276.316,1040,1359,"11,470",781,1991,"11,166",1766200.0
2016-02-01,120.3,21.9,20.65,3.55,5.5,1.05,2016.0,2.0,1/02/16,610.281,261.87,1040,1359,"11,470",781,1991,"11,166",1766200.0
2016-03-01,76.2,20.35,18.85,3.7,8.0,1.25,2016.0,3.0,1/03/16,641.298,280.402,1040,1359,"11,470",781,1991,"11,166",1766200.0
2016-04-01,56.0,17.6,16.25,2.85,2.5,1.65,2016.0,4.0,1/04/16,591.25,296.723,1020,1518,"12,573",782,2093,"11,746",1766200.0
2016-05-01,125.5,16.700000000000003,15.8,3.4,17.0,1.75,2016.0,5.0,1/05/16,630.671,342.181,1020,1518,"12,573",782,2093,"11,746",1766200.0
2016-06-01,122.6,13.3,13.100000000000001,3.45,12.0,2.3,2016.0,6.0,1/06/16,617.823,409.119,1020,1518,"12,573",782,2093,"11,746",1766200.0
2016-07-01,128.5,12.2,11.6,4.75,18.5,1.85,2016.0,7.0,1/07/16,633.395,449.015,992,1275,"10,269",770,2386,"13,184",1766200.0
2016-08-01,104.6,11.65,11.45,3.5,12.0,1.9,2016.0,8.0,1/08/16,647.144,453.624,992,1275,"10,269",770,2386,"13,184",1766200.0
2016-09-01,129.2,14.100000000000001,13.15,3.6999999999999997,10.0,2.1,2016.0,9.0,1/09/16,602.151,383.113,992,1275,"10,269",770,2386,"13,184",1766200.0
2016-10-01,65.0,15.35,13.5,4.35,17.0,1.4,2016.0,10.0,1/10/16,591.621,344.312,1041,1382,"11,672",763,2396,"13,129",1766200.0
2016-11-01,76.69999999999999,16.9,13.9,5.2,13.0,1.45,2016.0,11.0,1/11/16,606.622,310.168,1041,1382,"11,672",763,2396,"13,129",1766200.0
2016-12-01,26.599999999999998,18.3,14.8,4.35,5.0,1.15,2016.0,12.0,1/12/16,597.987,295.454,1041,1382,"11,672",763,2396,"13,129",1766200.0
2017-01-01,27.4,19.75,15.55,4.8,11.5,1.7,2017.0,1.0,1/01/17,597.225,279.838,1113,1326,"11,974",785,2124,"11,970",1806300.0
