"Estimated Resident Population for Regional Council Areas, at 30 June (1996+) (Annual-Jun)",Northland Region,Auckland Region,Waikato Region,Bay of Plenty Region,Gisborne Region,Hawke's Bay Region,Taranaki Region,Manawatu-Wanganui Region,Wellington Region,Tasman Region,Nelson Region,Marlborough Region,West Coast Region,Canterbury Region,Otago Region,Southland Region
2010,160600,1439600,412400,275700,46700,156300,110700,230400,479400,47400,46500,44600,32800,567700,204600,94700
2011,162500,1459600,417300,278200,46800,157300,111800,231300,483400,48200,47500,44700,33100,559300,206600,95700
2012,163500,1476500,421500,278800,47000,157500,112700,231200,485100,48600,48200,44600,33100,556000,207400,95900
2013,164700,1493200,424600,279700,47000,158000,113600,231200,486700,48800,48700,44700,33000,562900,208800,96000
2014,168200,1520400,432400,286100,47500,160800,115000,234200,493800,49700,49600,45400,32900,570600,212500,96800
2015,172100,1552800,442100,293200,48100,163700,116600,237400,501800,50700,50500,46200,32800,585600,217400,97700
2016,176400,1589800,452800,301500,48800,166900,118500,241100,510700,51900,51400,47100,32900,601900,223100,99000
2017,181200,1625100,465000,311500,49200,169700,120000,244300,518300,53000,52000,47900,32700,614300,228800,99900
2018,185800,1654800,475600,320800,49500,172400,121200,247500,525900,54000,52700,48700,32400,622800,235000,100500
2019,189100,1681300,485700,328200,50200,174900,123100,250600,532600,54900,53400,49300,32500,631700,239400,101600
2020,194600,1714200,500100,339200,51400,180000,125200,254600,542100,57300,54900,51300,32800,644000,245000,102800
2021,198500,1704700,506400,344100,51700,182100,126500,256700,544600,58100,54900,51600,32900,649000,246400,102500
2022,201200,1692300,510900,346900,52000,182800,127300,257600,543700,58600,55000,51600,32800,653400,248000,102500
2023,203900,1739300,522600,354100,52600,184800,128700,260900,550500,59400,55600,52200,32900,666300,254600,103900
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,